ogbl-biokg loaded in 10s: 93,773 entities (disease:10687, drug:10533, function:45085, protein:17499, sideeffect:9969), 51 relations, 4,762,678 train triples
sparse shell: row-sparse table grads, RowAdagrad lr 0.3, table fp32
params: 27,124,129 (M=144)
distill: 10 teachers (M=[144, 144, 144, 144, 144, 144, 144, 144, 144, 144]), w=1.0, T=2.0
step 1000/50000  loss 9.642  (92s)
step 2000/50000  loss 7.622  (185s)
step 3000/50000  loss 6.965  (275s)
step 4000/50000  loss 6.438  (352s)
step 5000/50000  loss 5.975  (409s)
step 6000/50000  loss 5.247  (467s)
step 7000/50000  loss 5.274  (525s)
step 8000/50000  loss 5.400  (582s)
step 9000/50000  loss 10.348  (640s)
step 10000/50000  loss 5.175  (698s)
step 11000/50000  loss 5.249  (755s)
step 12000/50000  loss 4.681  (812s)
step 13000/50000  loss 4.694  (869s)
step 14000/50000  loss 4.668  (925s)
step 15000/50000  loss 4.117  (982s)
step 16000/50000  loss 6.776  (1039s)
step 17000/50000  loss 6.834  (1097s)
step 18000/50000  loss 4.182  (1153s)
step 19000/50000  loss 4.157  (1210s)
step 20000/50000  loss 6.609  (1267s)
step 21000/50000  loss 4.260  (1324s)
step 22000/50000  loss 4.844  (1381s)
step 23000/50000  loss 3.579  (1437s)
step 24000/50000  loss 4.249  (1494s)
