ogbl-biokg loaded in 10s: 93,773 entities (disease:10687, drug:10533, function:45085, protein:17499, sideeffect:9969), 51 relations, 4,762,678 train triples
sparse shell: row-sparse table grads, RowAdagrad lr 0.3, table fp32
params: 27,124,129 (M=144)
distill: 10 teachers (M=[144, 144, 144, 144, 144, 144, 144, 144, 144, 144]), w=1.0, T=2.0
step 1000/50000  loss 9.252  (92s)
step 2000/50000  loss 7.852  (185s)
step 3000/50000  loss 5.517  (275s)
step 4000/50000  loss 6.349  (352s)
step 5000/50000  loss 5.827  (409s)
step 6000/50000  loss 5.168  (468s)
step 7000/50000  loss 5.271  (525s)
step 8000/50000  loss 5.002  (581s)
step 9000/50000  loss 4.996  (638s)
step 10000/50000  loss 5.305  (695s)
step 11000/50000  loss 5.165  (752s)
step 12000/50000  loss 5.136  (808s)
step 13000/50000  loss 4.888  (864s)
step 14000/50000  loss 5.041  (920s)
step 15000/50000  loss 6.852  (977s)
step 16000/50000  loss 4.336  (1034s)
step 17000/50000  loss 6.709  (1092s)
step 18000/50000  loss 4.455  (1149s)
step 19000/50000  loss 4.405  (1206s)
step 20000/50000  loss 4.158  (1262s)
step 21000/50000  loss 5.054  (1319s)
step 22000/50000  loss 4.301  (1376s)
step 23000/50000  loss 3.926  (1433s)
step 24000/50000  loss 4.061  (1490s)
