ogbl-biokg loaded in 10s: 93,773 entities (disease:10687, drug:10533, function:45085, protein:17499, sideeffect:9969), 51 relations, 4,762,678 train triples
sparse shell: row-sparse table grads, RowAdagrad lr 0.3, table fp32
params: 27,124,129 (M=144)
distill: 10 teachers (M=[144, 144, 144, 144, 144, 144, 144, 144, 144, 144]), w=1.0, T=2.0
step 1000/50000  loss 16.060  (93s)
step 2000/50000  loss 6.569  (185s)
step 3000/50000  loss 6.290  (275s)
step 4000/50000  loss 5.490  (352s)
step 5000/50000  loss 5.435  (409s)
step 6000/50000  loss 5.942  (468s)
step 7000/50000  loss 5.534  (525s)
step 8000/50000  loss 5.718  (582s)
step 9000/50000  loss 5.278  (639s)
step 10000/50000  loss 7.209  (696s)
step 11000/50000  loss 5.106  (753s)
step 12000/50000  loss 5.428  (809s)
step 13000/50000  loss 4.849  (865s)
step 14000/50000  loss 4.318  (922s)
step 15000/50000  loss 4.806  (979s)
step 16000/50000  loss 5.255  (1036s)
step 17000/50000  loss 5.082  (1094s)
step 18000/50000  loss 4.229  (1151s)
step 19000/50000  loss 4.771  (1208s)
step 20000/50000  loss 4.057  (1265s)
step 21000/50000  loss 4.231  (1322s)
step 22000/50000  loss 4.452  (1379s)
step 23000/50000  loss 4.247  (1435s)
step 24000/50000  loss 5.237  (1492s)
