ogbl-biokg loaded in 7s: 93,773 entities (disease:10687, drug:10533, function:45085, protein:17499, sideeffect:9969), 51 relations, 4,762,678 train triples
sparse shell: row-sparse table grads, RowAdagrad lr 0.3, table fp32
params: 27,124,129 (M=144)
distill: 10 teachers (M=[144, 144, 144, 144, 144, 144, 144, 144, 144, 144]), w=1.0, T=2.0
step 1000/50000  loss 7.639  (10s)
step 2000/50000  loss 5.991  (20s)
step 3000/50000  loss 6.742  (31s)
step 4000/50000  loss 5.782  (41s)
step 5000/50000  loss 6.166  (51s)
step 6000/50000  loss 5.369  (61s)
step 7000/50000  loss 5.416  (71s)
step 8000/50000  loss 5.279  (81s)
step 9000/50000  loss 4.997  (91s)
step 10000/50000  loss 5.143  (101s)
step 11000/50000  loss 4.619  (111s)
step 12000/50000  loss 5.117  (121s)
step 13000/50000  loss 4.736  (131s)
step 14000/50000  loss 4.706  (141s)
step 15000/50000  loss 4.548  (151s)
step 16000/50000  loss 5.180  (161s)
step 17000/50000  loss 4.442  (172s)
step 18000/50000  loss 4.554  (182s)
step 19000/50000  loss 4.103  (192s)
step 20000/50000  loss 4.129  (202s)
step 21000/50000  loss 5.160  (212s)
step 22000/50000  loss 3.672  (222s)
step 23000/50000  loss 3.980  (232s)
step 24000/50000  loss 7.926  (242s)
step 25000/50000  loss 4.935  (252s)
step 26000/50000  loss 3.377  (262s)
step 27000/50000  loss 3.831  (273s)
step 28000/50000  loss 4.107  (283s)
step 29000/50000  loss 3.751  (293s)
step 30000/50000  loss 5.195  (303s)
step 31000/50000  loss 3.647  (313s)
step 32000/50000  loss 4.146  (323s)
step 33000/50000  loss 3.912  (334s)
step 34000/50000  loss 3.757  (344s)
step 35000/50000  loss 4.949  (354s)
step 36000/50000  loss 4.964  (364s)
step 37000/50000  loss 5.947  (374s)
step 38000/50000  loss 4.892  (384s)
step 39000/50000  loss 3.810  (394s)
step 40000/50000  loss 5.030  (404s)
step 41000/50000  loss 2.946  (415s)
step 42000/50000  loss 3.308  (425s)
step 43000/50000  loss 3.975  (435s)
step 44000/50000  loss 3.468  (445s)
step 45000/50000  loss 5.373  (455s)
step 46000/50000  loss 3.738  (465s)
step 47000/50000  loss 4.741  (475s)
