ogbl-biokg loaded in 10s: 93,773 entities (disease:10687, drug:10533, function:45085, protein:17499, sideeffect:9969), 51 relations, 4,762,678 train triples
sparse shell: row-sparse table grads, RowAdagrad lr 0.3, table fp32
params: 27,124,129 (M=144)
distill: 10 teachers (M=[144, 144, 144, 144, 144, 144, 144, 144, 144, 144]), w=1.0, T=2.0
step 1000/50000  loss 8.698  (92s)
step 2000/50000  loss 16.246  (184s)
step 3000/50000  loss 5.698  (275s)
step 4000/50000  loss 6.142  (352s)
step 5000/50000  loss 6.036  (409s)
step 6000/50000  loss 11.074  (467s)
step 7000/50000  loss 7.942  (524s)
step 8000/50000  loss 6.304  (581s)
step 9000/50000  loss 5.091  (637s)
step 10000/50000  loss 5.139  (695s)
step 11000/50000  loss 4.678  (751s)
step 12000/50000  loss 4.706  (807s)
step 13000/50000  loss 4.436  (863s)
step 14000/50000  loss 5.107  (920s)
step 15000/50000  loss 4.569  (977s)
step 16000/50000  loss 5.020  (1034s)
step 17000/50000  loss 5.233  (1092s)
step 18000/50000  loss 6.618  (1149s)
step 19000/50000  loss 4.491  (1205s)
step 20000/50000  loss 4.423  (1262s)
step 21000/50000  loss 5.248  (1319s)
step 22000/50000  loss 3.792  (1376s)
step 23000/50000  loss 5.036  (1433s)
step 24000/50000  loss 4.018  (1489s)
